LGA_CODE_2016,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_spoken_home_Eng_only_M,Lang_spoken_home_Eng_only_F,Lang_spoken_home_Eng_only_P,Lang_spoken_home_Oth_Lang_M,Lang_spoken_home_Oth_Lang_F,Lang_spoken_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P
LGA20110,6074,6265,12337,256,264,519,739,692,1433,330,334,665,235,193,427,454,480,935,632,743,1376,894,926,1815,1081,1068,2142,860,861,1718,437,479,915,153,237,383,5512,5754,11261,558,512,1073,46,58,104,0,0,0,0,0,0,46,58,104,4672,4752,9423,810,886,1700,5122,5261,10386,442,504,943,5327,5470,10795,59,61,113,652,627,1271,251,250,505,38,54,89,69,162,240,1733,2224,3963,872,863,1731,1096,965,2060,401,355,760,364,294,655,22,23,41,5321,5489,10814,1233,1289,2525
LGA20260,6152,5449,11600,306,260,561,621,614,1242,315,291,606,303,231,533,714,521,1235,765,594,1360,860,752,1608,953,828,1784,768,712,1476,422,413,840,127,225,359,5759,5106,10862,392,344,738,106,56,166,8,3,13,0,0,0,114,59,175,5056,4488,9546,619,483,1106,4873,4823,9696,197,232,424,4868,4824,9688,59,61,112,546,557,1102,184,199,382,46,41,83,48,127,173,1397,1761,3151,840,772,1609,935,779,1718,453,392,840,421,363,788,52,16,70,4845,4861,9711,1284,464,1745
LGA20570,48864,52821,101686,3445,3173,6615,6539,6313,12853,3362,3237,6603,3737,3802,7544,6429,6686,13120,5910,6502,12416,6084,6797,12884,5659,6419,12080,4536,5186,9723,2356,3097,5449,806,1601,2409,45904,49862,95765,2959,2958,5923,643,731,1372,28,40,68,20,16,35,692,782,1470,40919,44145,85068,4623,5032,9655,43217,46783,89998,2670,2827,5499,43744,47377,91121,651,665,1315,6043,5815,11861,2420,2436,4860,1272,1529,2802,1268,2047,3310,16783,20468,37250,5951,6251,12199,7221,6998,14213,3311,3168,6480,2207,2542,4752,146,119,261,44244,47716,91959,3819,4222,8037
LGA20660,59222,62644,121865,3950,3796,7747,7354,6911,14267,3518,3308,6834,3825,3582,7410,7975,8269,16248,8488,8887,17375,7782,8436,16224,6847,7691,14542,5455,6058,11511,2839,3627,6470,1188,2066,3253,56706,60180,116883,2522,2466,4984,329,335,669,14,8,25,4,8,13,350,354,703,42563,44526,87093,13713,14891,28609,44089,45811,89897,12461,13967,26429,51241,53971,105217,809,868,1682,6919,6488,13405,2964,2874,5840,1895,1869,3762,1886,2599,4481,29065,31763,60819,5545,5416,10962,5535,5534,11068,2467,2477,4945,2071,2918,4994,310,420,735,55195,58473,113665,3382,3569,6952
LGA20740,15897,16912,32804,886,781,1669,1851,1827,3681,827,761,1587,560,561,1127,1394,1490,2882,1553,1790,3337,2061,2174,4233,2480,2707,5190,2565,2741,5304,1285,1379,2667,446,695,1143,14491,15597,30089,1401,1316,2719,147,129,271,9,7,17,11,4,11,164,141,303,12171,12980,25155,2308,2430,4740,13954,14893,28849,771,809,1578,13991,14919,28904,155,150,306,1637,1654,3284,574,556,1136,104,109,221,214,496,704,4397,5650,10043,2182,2194,4373,2919,2706,5621,1318,1211,2528,877,950,1821,59,47,102,13947,14894,28843,1467,1669,3135
LGA20830,23543,24938,48479,1484,1458,2944,3223,3124,6351,1551,1451,3003,1263,1245,2510,2528,2743,5269,2561,2867,5432,3090,3390,6486,3211,3506,6718,2797,2934,5728,1422,1507,2925,403,706,1112,22103,23528,45632,1443,1407,2844,230,221,444,7,10,18,3,8,14,240,235,484,19235,20182,39415,2490,2759,5253,21069,22289,43359,911,1016,1928,21097,22302,43402,266,267,532,2926,2852,5778,1116,1127,2237,261,343,604,326,898,1226,6364,8599,14964,3211,3279,6490,4407,3673,8078,1850,1618,3471,1239,1247,2487,73,77,147,21342,22508,43853,1508,1745,3255
LGA20910,46229,50862,97087,2546,2445,4994,6757,6673,13429,3212,2964,6178,2538,2381,4919,3745,4232,7980,5693,6721,12418,7489,8364,15855,6058,6581,12636,4573,5141,9718,2377,2968,5344,1228,2393,3624,43795,48654,92449,2428,2210,4641,92,82,178,11,3,14,0,0,0,104,86,189,32033,34914,66948,11670,13161,24830,37437,40433,77872,6420,7807,14225,39508,43440,82944,753,680,1434,6346,6276,12624,2842,2658,5497,1414,1334,2747,951,1661,2613,25590,28012,53602,3437,4158,7592,3053,3772,6829,1327,1482,2813,944,1311,2258,124,162,284,42488,46612,89101,2418,3313,5731
LGA21010,6720,7149,13861,362,310,673,777,725,1501,404,378,777,339,303,645,572,636,1209,617,693,1316,838,1027,1865,1083,1180,2259,984,1005,1991,531,572,1101,207,323,528,6227,6680,12903,489,467,955,103,113,217,3,0,3,0,0,3,104,114,220,5576,5882,11455,499,590,1094,5982,6365,12352,185,213,393,6035,6380,12411,51,56,103,694,647,1340,285,266,552,43,63,110,57,168,223,1764,2256,4017,1014,1047,2063,1203,1136,2337,542,488,1032,410,474,889,15,17,32,5959,6328,12289,576,626,1201
LGA21110,80145,87085,167231,4004,3737,7742,10757,10302,21064,5968,5940,11910,6813,6532,13346,11111,11426,22544,9568,11168,20736,11276,12823,24102,9034,9949,18983,6483,7468,13951,3508,4526,8031,1627,3208,4829,76545,83508,160051,3606,3572,7183,159,140,291,9,11,18,0,5,8,164,150,317,52094,55319,107415,24145,27604,51744,55226,58665,113886,21098,24482,45581,65670,70778,136446,1104,1032,2139,10167,9800,19970,5463,5457,10922,4361,4080,8436,3263,4269,7538,49623,53896,103517,4489,5463,9952,3712,4505,8221,1907,2072,3985,1448,2238,3682,348,415,762,73879,80237,154120,4848,5638,10484
LGA21180,97239,97079,194319,6676,6275,12952,11643,11264,22912,6251,6003,12254,8158,6991,15155,16128,15182,31313,13079,13237,26317,12260,12624,24883,10670,11497,22171,7684,7892,15576,3620,4242,7863,1053,1866,2926,94094,94107,188195,3147,2974,6124,373,366,742,36,22,61,6,9,15,416,401,815,44077,43086,87161,46044,46961,93001,35236,34067,69300,56095,57366,113457,74511,75637,150152,1065,988,2052,10235,9968,20203,4864,4992,9851,3572,3214,6786,3259,4547,7812,41580,41353,82929,7858,6703,14567,9529,8856,18385,4339,4267,8606,6746,8581,15328,2167,2998,5168,91509,91228,182733,5256,5462,10712
