Suburb,to.x,row.number.x,minutestoRMH,hourstoRMH,kmtoRMH,to.y,row.number.y,lat,long,accuracy,formatted_address,address_type,status,minutestoAlfred,hourstoAlfred,kmtoAlfred,minutesfromAlfred,hoursfromAlfred,kmfromAlfred,minutestoAus,hourstoAus,kmtoAus,minutesfromMMC,hoursfromMMC,kmfromMMC,minutesfromRMH,hoursfromRMH,kmfromRMH,minutestoMMC,hourstoMMC,kmtoMMC
"3000,Victoria, Australia","royal melbourne hospital, victoria",1,16.85,0.281,4.789,"monash medical centre, Victoria",1,-37.8152065,144.963937,postal_code,"Melbourne VIC 3000, Australia",postal_code,OK,14.83333333,0.247222222,4.078,16.78333333,0.279722222,4.742,26.15,0.435833333,15.516,32.63333333,0.543888889,24.687,9.466666667,0.157777778,1.988,30.71666667,0.511944444,24.507
"3002,Victoria, Australia","royal melbourne hospital, victoria",3,18.75,0.313,6.708,"monash medical centre, Victoria",3,-37.8161444,144.9804594,postal_code,"East Melbourne VIC 3002, Australia",postal_code,OK,9.366666667,0.156111111,4.083,10.8,0.18,4.33,20.2,0.336666667,14.587,27.63333333,0.460555556,22.874,13.26666667,0.221111111,4.243,26.83333333,0.447222222,22.482
"3003,Victoria, Australia","royal melbourne hospital, victoria",4,10.883,0.181,5.663,"monash medical centre, Victoria",4,-37.8114504,144.9253974,postal_code,"West Melbourne VIC 3003, Australia",postal_code,OK,15.41666667,0.256944444,8.881,15,0.25,9.007,28.88333333,0.481388889,19.058,29.73333333,0.495555556,28.975,10.3,0.171666667,5.518,31.2,0.52,28.097
"3004,Victoria, Australia","royal melbourne hospital, victoria",5,21.067,0.351,12.789,"monash medical centre, Victoria",5,-37.8301583,144.9804594,postal_code,"Melbourne VIC 3004, Australia",postal_code,OK,9.516666667,0.158611111,3.391,9.716666667,0.161944444,3.375,27.73333333,0.462222222,17.003,30.06666667,0.501111111,23.448,19.41666667,0.323611111,5.156,31.93333333,0.532222222,24.583
"3006,Victoria, Australia","royal melbourne hospital, victoria",7,13.6,0.227,10.76,"monash medical centre, Victoria",7,-37.8245483,144.963937,postal_code,"South Wharf VIC 3006, Australia",postal_code,OK,9.316666667,0.155277778,3.474,10.33333333,0.172222222,3.351,26.7,0.445,16.641,24.83333333,0.413888889,23.059,14.51666667,0.241944444,3.34,24.31666667,0.405277778,22.431
"3008,Victoria, Australia","royal melbourne hospital, victoria",9,13.283,0.221,6.529,"monash medical centre, Victoria",9,-37.8170652,144.9419122,postal_code,"Docklands VIC 3008, Australia",postal_code,OK,17.38333333,0.289722222,9.422,18.4,0.306666667,5.648,31.11666667,0.518611111,16.9,30.83333333,0.513888889,25.487,13.76666667,0.229444444,3.977,33.16666667,0.552777778,28.638
"3010,Victoria, Australia","royal melbourne hospital, victoria",11,11.867,0.198,3.974,"monash medical centre, Victoria",11,-37.7962849,144.9598069,postal_code,"Parkville VIC 3010, Australia",postal_code,OK,21.63333333,0.360555556,7.283,22.51666667,0.375277778,8.026,24.01666667,0.400277778,14.876,38.35,0.639166667,27.972,2.316666667,0.038611111,0.747,37.48333333,0.624722222,26.665
"3011,Victoria, Australia","royal melbourne hospital, victoria",12,13.717,0.229,5.839,"monash medical centre, Victoria",12,-37.7960195,144.9006313,postal_code,"Seddon VIC 3011, Australia",postal_code,OK,21.88333333,0.364722222,12.134,21.4,0.356666667,12.316,31.71666667,0.528611111,19.235,36.13333333,0.602222222,32.284,12.7,0.211666667,5.622,37.66666667,0.627777778,31.35
"3012,Victoria, Australia","royal melbourne hospital, victoria",13,19.333,0.322,15.579,"monash medical centre, Victoria",13,-37.8146251,144.8456217,postal_code,"Maidstone VIC 3012, Australia",postal_code,OK,20.7,0.345,15.334,20.85,0.3475,14.773,37.33333333,0.622222222,28.974,35.55,0.5925,34.746,21,0.35,11.417,36.48333333,0.608055556,34.5
"3013,Victoria, Australia","royal melbourne hospital, victoria",14,16.183,0.27,11.896,"monash medical centre, Victoria",14,-37.819811,144.8813738,postal_code,"Yarraville VIC 3013, Australia",postal_code,OK,17.53333333,0.292222222,11.651,18.3,0.305,11.329,34.16666667,0.569444444,25.291,33.01666667,0.550277778,31.302,17.01666667,0.283611111,12.416,33.31666667,0.555277778,30.817
"3015,Victoria, Australia","royal melbourne hospital, victoria",16,18.583,0.31,13.319,"monash medical centre, Victoria",16,-37.8352097,144.8786231,postal_code,"Spotswood VIC 3015, Australia",postal_code,OK,19.93333333,0.332222222,13.074,18.4,0.306666667,12.201,36.56666667,0.609444444,26.715,33.11666667,0.551944444,32.174,17.11666667,0.285277778,13.288,35.71666667,0.595277778,32.241
"3016,Victoria, Australia","royal melbourne hospital, victoria",17,23.2,0.387,16.607,"monash medical centre, Victoria",17,-37.8571449,144.8813738,postal_code,"Williamstown North VIC 3016, Australia",postal_code,OK,24.55,0.409166667,16.362,22.61666667,0.376944444,15.037,41.18333333,0.686388889,30.003,37.31666667,0.621944444,35.01,21.33333333,0.355555556,16.125,40.33333333,0.672222222,35.528
"3018,Victoria, Australia","royal melbourne hospital, victoria",19,25.317,0.422,21.528,"monash medical centre, Victoria",19,-37.859343,144.8126334,postal_code,"Altona VIC 3018, Australia",postal_code,OK,26.7,0.445,21.283,25.76666667,0.429444444,20.525,43.33333333,0.722222222,34.923,40.46666667,0.674444444,40.498,24.48333333,0.408055556,21.612,42.46666667,0.707777778,40.449
"3019,Victoria, Australia","royal melbourne hospital, victoria",20,21.85,0.364,10.609,"monash medical centre, Victoria",20,-37.7903679,144.8566207,postal_code,"Braybrook VIC 3019, Australia",postal_code,OK,27.11666667,0.451944444,16.161,26.71666667,0.445277778,16.311,40.01666667,0.666944444,23.948,41.43333333,0.690555556,36.279,21.25,0.354166667,10.477,42.9,0.715,35.377
"3020,Victoria, Australia","royal melbourne hospital, victoria",21,26.317,0.439,13.709,"monash medical centre, Victoria",21,-37.7791149,144.823628,postal_code,"Sunshine VIC 3020, Australia",postal_code,OK,28.08333333,0.468055556,27.363,28.71666667,0.478611111,27.019,39.13333333,0.652222222,29.623,43.41666667,0.723611111,46.992,26.51666667,0.441944444,14.065,43.86666667,0.731111111,46.529
"3021,Victoria, Australia","royal melbourne hospital, victoria",22,21.817,0.364,19.379,"monash medical centre, Victoria",22,-37.7435941,144.8016402,postal_code,"Kealba VIC 3021, Australia",postal_code,OK,32.3,0.538333333,30.339,31.93333333,0.532222222,31.191,36.96666667,0.616111111,25.094,46.63333333,0.777222222,51.164,24.4,0.406666667,20.921,48.08333333,0.801388889,49.505
"3022,Victoria, Australia","royal melbourne hospital, victoria",23,26.283,0.438,24.754,"monash medical centre, Victoria",23,-37.7776716,144.7988921,postal_code,"Ardeer VIC 3022, Australia",postal_code,OK,27.65,0.460833333,24.509,28.05,0.4675,23.64,42.36666667,0.706111111,32.778,42.75,0.7125,43.613,26.76666667,0.446111111,24.727,43.43333333,0.723888889,43.676
"3023,Victoria, Australia","royal melbourne hospital, victoria",24,27.017,0.45,25.503,"monash medical centre, Victoria",24,-37.7687064,144.7521888,postal_code,"Burnside VIC 3023, Australia",postal_code,OK,29.53333333,0.492222222,27.868,29.85,0.4975,27.451,42.11666667,0.701944444,31.218,44.56666667,0.742777778,47.424,29.65,0.494166667,26.812,45.31666667,0.755277778,47.034
"3024,Victoria, Australia","royal melbourne hospital, victoria",25,45.333,0.756,42.682,"monash medical centre, Victoria",25,-37.8706337,144.5875645,postal_code,"Wyndham Vale VIC 3024, Australia",postal_code,OK,46.63333333,0.777222222,42.437,46.9,0.781666667,41.705,63.26666667,1.054444444,56.078,61.61666667,1.026944444,61.678,45.61666667,0.760277778,42.792,62.4,1.04,61.603
"3025,Victoria, Australia","royal melbourne hospital, victoria",26,21.417,0.357,17.901,"monash medical centre, Victoria",26,-37.8388686,144.8346241,postal_code,"Altona North VIC 3025, Australia",postal_code,OK,22.8,0.38,17.656,22.05,0.3675,16.878,39.45,0.6575,31.297,36.75,0.6125,36.851,20.76666667,0.346111111,17.965,38.58333333,0.643055556,36.822
"3026,Victoria, Australia","royal melbourne hospital, victoria",27,23.55,0.393,20.69,"monash medical centre, Victoria",27,-37.8294185,144.7796581,postal_code,"Laverton North VIC 3026, Australia",postal_code,OK,24.9,0.415,20.445,24.63333333,0.410555556,19.76,41.48333333,0.691388889,33.609,39.33333333,0.655555556,39.733,23.35,0.389166667,20.847,40.68333333,0.678055556,39.611
"3027,Victoria, Australia","royal melbourne hospital, victoria",28,25.45,0.424,26.773,"monash medical centre, Victoria",28,-37.8614859,144.7439497,postal_code,"Williams Landing VIC 3027, Australia",postal_code,OK,26.83333333,0.447222222,26.528,27.06666667,0.451111111,26.17,43.46666667,0.724444444,40.168,41.78333333,0.696388889,46.143,25.78333333,0.429722222,27.257,42.61666667,0.710277778,45.694
"3028,Victoria, Australia","royal melbourne hospital, victoria",29,26.967,0.449,25.73,"monash medical centre, Victoria",29,-37.8760399,144.7796581,postal_code,"Altona Meadows VIC 3028, Australia",postal_code,OK,28.31666667,0.471944444,25.485,26.23333333,0.437222222,23.801,44.95,0.749166667,39.126,40.93333333,0.682222222,43.774,24.95,0.415833333,24.888,44.1,0.735,44.651
"3029,Victoria, Australia","royal melbourne hospital, victoria",30,31.85,0.531,27.159,"monash medical centre, Victoria",30,-37.8282806,144.7082568,postal_code,"Tarneit VIC 3029, Australia",postal_code,OK,33.23333333,0.553888889,26.914,32.35,0.539166667,26.223,48.53333333,0.808888889,39.8,47.05,0.784166667,46.196,31.06666667,0.517777778,27.311,49.01666667,0.816944444,46.08
"3030,Victoria, Australia","royal melbourne hospital, victoria",31,34.183,0.57,37.338,"monash medical centre, Victoria",31,-37.938058,144.6753231,postal_code,"Derrimut VIC 3030, Australia",postal_code,OK,35.56666667,0.592777778,37.093,33.56666667,0.559444444,35.751,52.2,0.87,50.734,48.26666667,0.804444444,55.724,32.28333333,0.538055556,36.839,51.33333333,0.855555556,56.259
"3031,Victoria, Australia","royal melbourne hospital, victoria",32,9.767,0.163,3.839,"monash medical centre, Victoria",32,-37.790896,144.9198932,postal_code,"Kensington VIC 3031, Australia",postal_code,OK,19.58333333,0.326388889,12.089,20.23333333,0.337222222,12.346,27.76666667,0.462777778,17.234,34.96666667,0.582777778,32.314,10.18333333,0.169722222,3.863,35.36666667,0.589444444,31.305
"3032,Victoria, Australia","royal melbourne hospital, victoria",33,13.283,0.221,5.514,"monash medical centre, Victoria",33,-37.7773364,144.9006313,postal_code,"Ascot Vale VIC 3032, Australia",postal_code,OK,25.73333333,0.428888889,14.521,25.03333333,0.417222222,14.581,33.91666667,0.565277778,19.666,39.76666667,0.662777778,34.549,14.98333333,0.249722222,6.098,41.51666667,0.691944444,33.737
"3033,Victoria, Australia","royal melbourne hospital, victoria",34,17.3,0.288,15.134,"monash medical centre, Victoria",34,-37.7343192,144.8566207,postal_code,"Keilor East VIC 3033, Australia",postal_code,OK,29,0.483333333,25.325,28.35,0.4725,25.519,32.46666667,0.541111111,20.849,43.08333333,0.718055556,45.488,18.95,0.315833333,16.684,44.8,0.746666667,44.541
