Suburb,to,row.number,minutestoBHH,hourstoBHH,kmtoBHH,to,minutestoFrankston,hourstofrankston,kmtofrankston,to,minutestogeelong,hourstogeelong,kmtogeelong,to,minutestonorthern,hourstonorthern,kmtonorthern,to,minutestoSVH,hourstoSVH,kmtoSVH,to,minutestoSH,hourstoSH,kmtoSH
"3000,Victoria, Australia","box hill hospital, victoria",1,27.68333333,0.461388889,19.167,"frankston hospital, victoria",45.35,0.755833333,55.945,"geelong hospital, victoria",66.16666667,1.102777778,76.221,"northern hospital, victoria",36.75,0.6125,34.572,"st vincent hospital, victoria",9.566666667,0.159444444,1.883,"sunshine hospital, victoria",27.88333333,0.464722222,26.757
"3001,Victoria, Australia","box hill hospital, victoria",2,69.73333333,1.162222222,69.529,"frankston hospital, victoria",89.5,1.491666667,111.241,"geelong hospital, victoria",97.36666667,1.622777778,117.801,"northern hospital, victoria",47.08333333,0.784722222,49.136,"st vincent hospital, victoria",60.21666667,1.003611111,54.387,"sunshine hospital, victoria",45.6,0.76,47.193
"3002,Victoria, Australia","box hill hospital, victoria",3,22.81666667,0.380277778,18.593,"frankston hospital, victoria",41.58333333,0.693055556,53.92,"geelong hospital, victoria",67.73333333,1.128888889,78.23,"northern hospital, victoria",40.46666667,0.674444444,21.289,"st vincent hospital, victoria",5.916666667,0.098611111,1.679,"sunshine hospital, victoria",29.46666667,0.491111111,28.766
"3003,Victoria, Australia","box hill hospital, victoria",4,29.96666667,0.499444444,23.115,"frankston hospital, victoria",45.2,0.753333333,59.533,"geelong hospital, victoria",60.55,1.009166667,74.479,"northern hospital, victoria",29.1,0.485,32.636,"st vincent hospital, victoria",16.73333333,0.278888889,5.135,"sunshine hospital, victoria",21.23333333,0.353888889,21.898
"3004,Victoria, Australia","box hill hospital, victoria",5,31.26666667,0.521111111,21.187,"frankston hospital, victoria",47.06666667,0.784444444,55.098,"geelong hospital, victoria",67.76666667,1.129444444,76.911,"northern hospital, victoria",40.45,0.674166667,39.86,"st vincent hospital, victoria",17.53333333,0.292222222,5.036,"sunshine hospital, victoria",29.5,0.491666667,27.447
"3005,Victoria, Australia","box hill hospital, victoria",6,30.11666667,0.501944444,23.523,"frankston hospital, victoria",42.15,0.7025,55.988,"geelong hospital, victoria",59.8,0.996666667,73.607,"northern hospital, victoria",32.5,0.541666667,36.575,"st vincent hospital, victoria",16.8,0.28,4.834,"sunshine hospital, victoria",21.51666667,0.358611111,24.143
"3006,Victoria, Australia","box hill hospital, victoria",7,28.98333333,0.483055556,20.825,"frankston hospital, victoria",41.48333333,0.691388889,54.632,"geelong hospital, victoria",58.86666667,0.981111111,74.784,"northern hospital, victoria",31.55,0.525833333,37.733,"st vincent hospital, victoria",14.4,0.24,3.629,"sunshine hospital, victoria",20.6,0.343333333,25.319
"3007,Victoria, Australia","box hill hospital, victoria",8,69.73333333,1.162222222,69.529,"frankston hospital, victoria",89.5,1.491666667,111.241,"geelong hospital, victoria",97.36666667,1.622777778,117.801,"northern hospital, victoria",47.08333333,0.784722222,49.136,"st vincent hospital, victoria",60.21666667,1.003611111,54.387,"sunshine hospital, victoria",45.6,0.76,47.193
"3008,Victoria, Australia","box hill hospital, victoria",9,32.65,0.544166667,23.981,"frankston hospital, victoria",47.36666667,0.789444444,60.074,"geelong hospital, victoria",62.71666667,1.045277778,75.021,"northern hospital, victoria",31.78333333,0.529722222,33.503,"st vincent hospital, victoria",15.08333333,0.251388889,3.298,"sunshine hospital, victoria",23.91666667,0.398611111,22.764
"3009,Victoria, Australia","box hill hospital, victoria",10,69.73333333,1.162222222,69.529,"frankston hospital, victoria",89.5,1.491666667,111.241,"geelong hospital, victoria",97.36666667,1.622777778,117.801,"northern hospital, victoria",47.08333333,0.784722222,49.136,"st vincent hospital, victoria",60.21666667,1.003611111,54.387,"sunshine hospital, victoria",45.6,0.76,47.193
"3010,Victoria, Australia","box hill hospital, victoria",11,26.61666667,0.443611111,19.465,"frankston hospital, victoria",51.61666667,0.860277778,58.103,"geelong hospital, victoria",69.26666667,1.154444444,77.222,"northern hospital, victoria",35.26666667,0.587777778,32.315,"st vincent hospital, victoria",10.5,0.175,2.852,"sunshine hospital, victoria",27.38333333,0.456388889,21.576
"3011,Victoria, Australia","box hill hospital, victoria",12,32.48333333,0.541388889,23.296,"frankston hospital, victoria",51.33333333,0.855555556,62.806,"geelong hospital, victoria",59.23333333,0.987222222,69.235,"northern hospital, victoria",32.11666667,0.535277778,34.657,"st vincent hospital, victoria",19.11666667,0.318611111,7.44,"sunshine hospital, victoria",19.16666667,0.319444444,10.388
"3012,Victoria, Australia","box hill hospital, victoria",13,38.2,0.636666667,33.474,"frankston hospital, victoria",50.25,0.8375,65.938,"geelong hospital, victoria",52.7,0.878333333,64.007,"northern hospital, victoria",34.21666667,0.570277778,40.026,"st vincent hospital, victoria",27.71666667,0.461944444,12.743,"sunshine hospital, victoria",15.88333333,0.264722222,15.818
"3013,Victoria, Australia","box hill hospital, victoria",14,34.91666667,0.581944444,29.791,"frankston hospital, victoria",46.96666667,0.782777778,62.255,"geelong hospital, victoria",54.96666667,0.916111111,67.304,"northern hospital, victoria",33.86666667,0.564444444,38.869,"st vincent hospital, victoria",24.68333333,0.411388889,10.303,"sunshine hospital, victoria",16.7,0.278333333,17.84
