V1,V2,time.line,time.capacity
amb,AssessPatientHome,1,15
amb,TransportPatient,15,15
amb,TransportCT,30,5
EDdoctor,AssessPatient,35,5
EDdoctor,TransportCT,40,10
EDnurse,AssessPatient,35,5
EDnurse,TransportCT,40,10
StrokeNurse,AssessPatient,35,5
StrokeNurse,TransportCT,40,10
StrokeNurse,TPAadmin,65,10
StrokeHMO,AssessPatient,35,5
StrokeHMO,TransportCT,40,10
StrokeHMO,TPAadmin,65,10
StrokeReg,AssessPatient,35,5
StrokeReg,TransportCT,40,10
Radiographer,ScanCT,50,10
Radiographer,TransferCT,55,5
StrokeReg,ViewCT,60,20
StrokeReg,TPAadmin,75,5
StrokeCon,ViewCT,65,5
StrokeCon,TPAdecision,70,5
StrokeCon,ECRdecision,70,5
INR,ECRdecision,80,10
INR,ViewCT,75,5
INR,ECRprocedure,145,60
