id,public,clinic,MRI,neurosx,neurology,hospital,lat,lon,metropolitan
mmc,1,1,1,1,1,monash medical centre,-37.9206682,145.1233865,1
rmh,1,1,1,1,1,royal melbourne hospital,-37.7789454,144.9468938,1
aus,1,1,1,1,1,austin hospital,-37.7564117,145.0602786,1
alf,1,1,1,1,1,alfred hospital,-37.8459604,144.9818517,1
stvin,1,1,1,1,1,st vincent hospital,-37.8075864,144.9750294,1
bhh,1,1,1,0,1,box hill hospital,-37.8135254,145.1185096,1
frankston,1,1,1,0,1,frankston hospital,-38.1512107,145.1291599,1
geelong,1,1,1,0,1,geelong hospital,-38.152047,144.364647,0
sunshine,1,1,1,0,1,sunshine hospital,-37.7602193,144.815301,1
northern,1,0,1,0,1,northern hospital,-37.652886,145.0144858,1
marroondah,1,0,0,0,1,marroondah hospital,-37.8066894,145.2551223,1
hampton,1,0,0,0,0,sandringham hospital,-37.960472,145.0190781,1
ddh,1,0,1,0,1,dandenong hospital,-37.9769435,145.2184844,1
casey,1,0,0,0,1,casey hospital,-38.0450362,145.3475889,1
ballarat,1,0,0,0,0,ballarat hospital,-37.558752,143.8472356,0
bendigo,1,0,1,0,0,bendigo hospital,-36.749617,144.280769,0
warragul,1,0,0,0,0,warragul hospital,-38.172926,145.9278279,0
albury,1,0,0,0,0,albury hospital,-36.0785951,146.9377197,0
bairnsdale,1,0,0,0,0,bairnsdale hospital,-37.8312441,147.6087414,0
sale,1,0,0,0,0,sale hospital,-38.1078778,147.0809467,0
echuca,1,0,0,0,0,echuca hospital,-36.1372798,144.7488035,0
goulburn,1,0,0,0,0,goulburn hospital,-36.3629016,145.4039947,0
hamilton,1,0,0,0,0,hamilton hospital,-37.7366582,142.0309292,0
latrobe,1,0,0,0,0,latrobe hospital,-38.2184037,146.4716471,0
wonthaggi,1,0,0,0,0,wonthaggi hospital,-38.6080994,145.5811644,0
mildura,1,0,0,0,0,mildura base hospital,-34.1859523,142.143687,0
wangaratta,1,0,0,0,0,wangaratta hospital,-36.3541427,146.3136634,0
warnambool,1,0,0,0,0,warnambool hospital,-38.3720326,142.4780671,0
swan,1,0,0,0,0,swan hill hospital,-35.3403325,143.5563753,0
wimmera,1,0,0,0,0,wimmera hospital,-36.7125503,142.208812,0
seprivate,0,0,0,0,1,south eastern private hospital,-37.9663646,145.1921073,1
epworth,0,0,0,1,1,epworth hospital,-37.8172404,144.9932603,1
knoxprivate,0,0,0,0,1,knox private hospital,-37.8493866,145.2282296,1
cabrini,0,0,0,1,1,cabrini hospital,-37.8623793,145.0334127,1
dandenongvalley,0,0,0,0,1,dandenong valley private hospital,-38.002744,145.213297,1
